Erreur_détectée	Correction_proposée	Contexte	Fichier
qu	que	urs et coutumes des manufacturât’s et du commerce que’on y fait etc 12 6 volé a la paye 1724 avec fin 	6271000.txt
mr	mir	me ouvrage in 4 en grand papier de catalogue m de mrr de larry conseiller de la cour et des ambassades	6271000.txt
larry	Harry	age in 4 en grand papier de catalogue m de mir de larry conseiller de la cour et des ambassades du roi de	6271000.txt
mr	mir	ades du roi de presse histoire des sept-sages par mrr de larry 8 2 vous à la paye 1721 a idem le premi	6271000.txt
larry	Harry	 roi de presse histoire des sept-sages par mir de larry 8 2 vous à la paye 1721 a idem le premier tome (é	6271000.txt
éparement	épatement	y 8 2 vous à la paye 1721 a idem le premier tome (éparement d e mr l e m 0 s alta omnia congregationum y difp	6271000.txt
mr	mir	a paye 1721 a idem le premier tome (épatement d e mrr l e m 0 s alta omnia congregationum y difputatio	6271000.txt
alta	alita	idem le premier tome (épatement d e mir l e m 0 s altaa omnia congregationum y difputationum in controve	6271000.txt
omnia	monial	e premier tome (épatement d e mir l e m 0 s alita omnial congregationum y difputationum in controverfia d	6271000.txt
congregationum	congrégation	er tome (épatement d e mir l e m 0 s alita monial congregationum difputationum in controverfia de /iuxitiu digne g	6271000.txt
difputationum	Pas de correction trouvée	ent d e mir l e m 0 s alita monial congrégation y difputationum in controverfia de /iuxitiu digne gratia contra p	6271000.txt
controverfia	controversa	 0 s alita monial congrégation y difputationum in controverfiade /iuxitiu digne gratia contra pleures ex swietat	6271000.txt
iuxitiu	Pas de correction trouvée	l congrégation y difputationum in controversa de /iuxitiu digne gratia contra pleures ex swietate joli aut 	6271000.txt
gratia	gratina	 y difputationum in controversa de /iuxitiu digne gratiaa contra pleures ex swietate joli aut th de limos 	6271000.txt
swietate	sweater	versa de /iuxitiu digne gratina contra pleures ex swietatejoli aut th de limos tulio 1701 y de mn l’abbé de 	6271000.txt
aut	auto	itiu digne gratina contra pleures ex sweater joli auto th de limos tulio 1701 y de mn l’abbé de longueu	6271000.txt
th	the	digne gratina contra pleures ex sweater joli auto the de limos tulio 1701 y de mn l’abbé de longueur d	6271000.txt
limos	linos	ratina contra pleures ex sweater joli auto the de limos tulio 1701 y de mn l’abbé de longueur description	6271000.txt
tulio	dulie	 contra pleures ex sweater joli auto the de linos tulio 1701 y de mn l’abbé de longueur description histo	6271000.txt
mn	nm	ex sweater joli auto the de linos dulie 1701 y de mn l’abbé de longueur description historique et géog	6271000.txt
france	France	ueur description historique et géographique de la france ancienne et moderne par mr l’abbé de longnerue fo	6271000.txt
mr	mir	géographique de la France ancienne et moderne par mrr l’abbé de longnerue folie 2 volé paris 1722 avec	6271000.txt
longnerue	longue-vue	"e la France ancienne et moderne par mir l’abbé de longneruee folie 2 volé paris 1722 avec fig""-! - le même ou"	6271000.txt
mr	mir	" avec fig""-! - le même ouvrage en grand papier de mrr a g lucius docteur en droit lieu a/gemeen hiflor"	6271000.txt
lucius	Lucie	"g""-! - le même ouvrage en grand papier de mir a g luciusdocteur en droit lieu a/gemeen hiflorifih geograph"	6271000.txt
gemeen	gemmée	d papier de mir a g Lucie docteur en droit lieu a/gemeen hiflorifih geographifch en gem me catalogue oenea	6271000.txt
hiflorifih	Pas de correction trouvée	r de mir a g Lucie docteur en droit lieu a/gemmée hiflorifih geographifch en gem me catalogue oenealogifcb wou	6271000.txt
geographifch	Pas de correction trouvée	g Lucie docteur en droit lieu a/gemmée hiflorifih geographifch en gem me catalogue oenealogifcb wourdenboek vcrv	6271000.txt
gem	hem	en droit lieu a/gemmée hiflorifih geographifch en gem me catalogue oenealogifcb wourdenboek vcrvattende	6271000.txt
oenealogifcb	Pas de correction trouvée	emmée hiflorifih geographifch en hem me catalogue oenealogifcb wourdenboek vcrvattende de pjhelc (trkflyke en iv	6271000.txt
wourdenboek	Pas de correction trouvée	fih geographifch en hem me catalogue oenealogifcb wourdenboek vcrvattende de pjhelc (trkflyke en ivcrrellyke ge	6271000.txt
vcrvattende	cravatâtes	ifch en hem me catalogue oenealogifcb wourdenboek vcrvattendede pjhelc (trkflyke en ivcrrellyke gem flbiedenis 	6271000.txt
pjhelc	pagel	 catalogue oenealogifcb wourdenboek cravatâtes de pjhelc(trkflyke en ivcrrellyke gem flbiedenis tour don t	6271000.txt
trkflyke	trafique	gue oenealogifcb wourdenboek cravatâtes de pagel (trkflyke en ivcrrellyke gem flbiedenis tour don tuer 4 g l	6271000.txt
ivcrrellyke	Pas de correction trouvée	ifcb wourdenboek cravatâtes de pagel (trafique en ivcrrellyke gem flbiedenis tour don tuer 4 g ltuftiui folie d	6271000.txt
gem	hem	boek cravatâtes de pagel (trafique en ivcrrellyke gem flbiedenis tour don tuer 4 g ltuftiui folie de mr	6271000.txt
flbiedenis	Pas de correction trouvée	 cravatâtes de pagel (trafique en ivcrrellyke hem flbiedenis tour don tuer 4 g ltuftiui folie de mr menace con	6271000.txt
ltuftiui	Pas de correction trouvée	e en ivcrrellyke hem flbiedenis tour don tuer 4 g ltuftiui folie de mr menace conseiller de s m pol et histo	6271000.txt
mr	mir	em flbiedenis tour don tuer 4 g ltuftiui folie de mrr menace conseiller de s m pol et historiographe d	6271000.txt
pol	poil	 g ltuftiui folie de mir menace conseiller de s m poll et historiographe de la maison électorale de sal	6271000.txt
mr	mir	torale de sale de la charlatanerie des savais par mrr mme lui avec des remarques critiques de differen	6271000.txt
mme	Mme	le de sale de la charlatanerie des savais par mir mme lui avec des remarques critiques de different aut	6271000.txt
different	diffèrent	s par mir Mme lui avec des remarques critiques de different auteurs 8 a la paye 172t de mr le chevalier de me	6271000.txt
mr	mir	ritiques de diffèrent auteurs 8 a la paye 172t de mrr le chevalier de me ré l oeuvres mérites de mr le	6271000.txt
mr	mir	de mir le chevalier de me ré l oeuvres mérites de mrr le chevalier de mec contenant plusieurs discours	6271000.txt
diverles	diverses	chevalier de mec contenant plusieurs discours fur diverles matières i les conversations avec le maréchal de 	6271000.txt
cleralnbaud	Pas de correction trouvée	 matières i les conversations avec le maréchal de cleralnbaud et les lettres 11 1 voit r fofthumes de mr le che	6271000.txt
fofthumes	fortunes	aréchal de cleralnbaud et les lettres 11 1 voit r fofthumesde mr le chevalier de mer contenant plusieurs disc	6271000.txt
mr	mir	leralnbaud et les lettres 11 1 voit r fortunes de mrr le chevalier de mer contenant plusieurs discours	6271000.txt
matieres	matières	 de mer contenant plusieurs discours fur diverses matieres et des réflexions fur l’education d’un enfant de 	6271000.txt
education	éducation	urs fur diverses matières et des réflexions fur l’education d’un enfant de qualité je de catalogue lot de mr 	6271000.txt
mr	mir	ion d’un enfant de qualité je de catalogue lot de mrr du mont conseil ler et historiographe job b m im	6271000.txt
tintclugence	d'indulgence	graphe job b m impériale mémoires politiques pour tintclugence de phiftnire des négociations de la paix de ryfwy	6271000.txt
phiftnire	L'histoire	mpériale mémoires politiques pour d'indulgence de phiftniree des négociations de la paix de ryfwyck par mr du	6271000.txt
ryfwyck	Pas de correction trouvée	ence de L'histoire des négociations de la paix de ryfwyck par mr du mont 12 4 vou de mr c g de la mot trait	6271000.txt
mr	mir	stoire des négociations de la paix de ryfwyck par mrr du mont 12 4 vou de mr c g de la mot traité de p	6271000.txt
vou	vous	ations de la paix de ryfwyck par mir du mont 12 4 vous de mr c g de la mot traité de plnfpiration des l	6271000.txt
mr	mir	e la paix de ryfwyck par mir du mont 12 4 vous de mrr c g de la mot traité de plnfpiration des livres 	6271000.txt
plnfpiration	Pas de correction trouvée	 du mont 12 4 vous de mir c g de la mot traité de plnfpiration des livres saurez du nouveau testament par mr c g	6271000.txt
mr	mir	ration des livres saurez du nouveau testament par mrr c g de la moche 8 do sr a de la morale voyages d	6271000.txt
sr	sir	du nouveau testament par mir c g de la moche 8 do srr a de la morale voyages du sr aubrey de la morale	6271000.txt
sr	sir	 g de la moche 8 do sir a de la morale voyages du srr aubrey de la morale en europe en tic et en afriq	6271000.txt
aubrey	auprès	e la moche 8 do sir a de la morale voyages du sir aubrey de la morale en europe en tic et en afrique folie	6271000.txt
europe	Europe	e la morale voyages du sir auprès de la morale en europe en tic et en afrique folie i volé a la paye 1717 	6271000.txt
afrique	friqué	du sir auprès de la morale en Europe en tic et en afriquefolie i volé a la paye 1717 avec fin qui de le mêm	6271000.txt
mauqjjest	Pas de correction trouvée	n qui de le même livre en grand papier de messire mauqjjest sie u r de la motte traité complet de chirurgie c	6271000.txt
sie	SPIE	e même livre en grand papier de messire mauqjjest sieE u r de la motte traité complet de chirurgie cont	6271000.txt
edit	édit	t rangées en meilleur ordre par le r p poney nous edit revue et corriger par mr le fiévre 8 a la paye 17	6271000.txt
mr	mir	 par le r p poney nous édit revue et corriger par mrr le fiévre 8 a la paye 1726 de mr le comte de pon	6271000.txt
fiévre	fièvre	 r p poney nous édit revue et corriger par mir le fiévre 8 a la paye 1726 de mr le comte de pontchar t r a	6271000.txt
mr	mir	et corriger par mir le fièvre 8 a la paye 1726 de mrr le comte de pontchar t r a un mémoires du comte 	6271000.txt
pontchar	pont char	mir le fièvre 8 a la paye 1726 de mir le comte de pontcharr t r a un mémoires du comte de pontchartrain mini	6271000.txt
pontchartrain	Pas de correction trouvée	 comte de pont char t r a un mémoires du comte de pontchartrain ministre et secretaire d’etat fous la régence de 	6271000.txt
secretaire	secrétaire	un mémoires du comte de pontchartrain ministre et secretaire d’etat fous la régence de la reine marie de medec	6271000.txt
medecin	médecin	taire d’état fous la régence de la reine marie de medecin b 1 volé a la paye 1729 de messieurs de port-roya	6271000.txt
clemens	cléments	 la paye 1729 de messieurs de port-royal nouveaux clemenss de géométrie par mrs de port-royal 12 a la paye 	6271000.txt
mrs	RMS	 de port-royal nouveaux cléments de géométrie par mrs de port-royal 12 a la paye 1711 avec fin du cardi	6271000.txt
rez	riez	t-royal 12 a la paye 1711 avec fin du cardinal de rezz histoire de la conjuration de fresque contre la 	6271000.txt
genes	gènes	la conjuration de fresque contre la république de genes par le cardinal de ll 12 a la haïr 1716 d 1 de mr	6271000.txt
ll	hl	 contre la république de gènes par le cardinal de ll 12 a la haïr 1716 d 1 de mr le marquis de quincy 	6271000.txt
mr	mir	es par le cardinal de hl 12 a la haïr 1716 d 1 de mrr le marquis de quincy brigadier des armées du roi	6271000.txt
quincy	Quincy	 de hl 12 a la haïr 1716 d 1 de mir le marquis de quincy brigadier des armées du roi et lieu te n ant-gene	6271000.txt
ant	ante	e Quincy brigadier des armées du roi et lieu te n ante-general d’artillerie histoire militaire du règne	6271000.txt
néceffairel	Pas de correction trouvée	 pendant le cours de con règne enrichie des plans néceffairel et d’un traité de pratiques et de maximes de l’ar	6271000.txt
mr	mir	de pratiques et de maximes de l’art militaire par mrr le marquis de quincy 4 7 volé paris 1726 avec fi	6271000.txt
quincy	Quincy	 maximes de l’art militaire par mir le marquis de quincy 4 7 volé paris 1726 avec fin de - a le môme ouvra	6271000.txt
mr	mir	vec fin de - a le môme ouvrage en grand papier de mrr g l le sage pensées hasards fur les etudes la gr	6271000.txt
etudes	études	papier de mir g l le sage pensées hasards fur les etudes la grammaire la rhétorique et la poétique par mr 	6271000.txt
mr	mir	des la grammaire la rhétorique et la poétique par mrr g l le sage 8 a la paye 1729 de mr de saint didi	6271000.txt
mr	mir	 poétique par mir g l le sage 8 a la paye 1729 de mrr de saint didier histoire des négociations de la 	6271000.txt
didier	DIDIER	 mir g l le sage 8 a la paye 1729 de mir de saint didier histoire des négociations de la paix de nimegue p	6271000.txt
nimegue	mimée	"nt DIDIER histoire des négociations de la paix de nimeguear mr de saint didier n a la paye 1716 da de 1.:""i"	6271000.txt
mr	mir	"histoire des négociations de la paix de mimée par mrr de saint didier n a la paye 1716 da de 1.:""iooo,"	6271000.txt
didier	DIDIER	"négociations de la paix de mimée par mir de saint didier n a la paye 1716 da de 1.:""iooo,~ as catalogue de"	6271000.txt
da	d'à	"de mimée par mir de saint DIDIER n a la paye 1716 daà de 1.:""iooo,~ as catalogue de de mr de saint err"	6271000.txt
iooo	igloo	"r mir de saint DIDIER n a la paye 1716 d'à de 1.:""ioooo,~ as catalogue de de mr de saint erreront mémoir"	6271000.txt
mr	mir	"a paye 1716 d'à de 1.:""igloo,~ as catalogue de de mrr de saint erreront mémoires de la vie du comte d "	6271000.txt
mr	mir	 la vie du comte d avant l’a retraite rédigez par mrr de saint evrcmcnt 12 2 volé 1722 de mr de saint 	6271000.txt
evrcmcnt	Pas de correction trouvée	mte d avant l’a retraite rédigez par mir de saint evrcmcnt 12 2 volé 1722 de mr de saint remy mémoires de mr	6271000.txt
mr	mir	digez par mir de saint evrcmcnt 12 2 volé 1722 de mrr de saint remy mémoires de mr de saint remy conte	6271000.txt
remy	rem	 de saint evrcmcnt 12 2 volé 1722 de mir de saint remymémoires de mr de saint remy contenant ce qui sent	6271000.txt
mr	mir	nt 12 2 volé 1722 de mir de saint rem mémoires de mrr de saint remy contenant ce qui sent palpé de plu	6271000.txt
remy	rem	1722 de mir de saint rem mémoires de mir de saint remycontenant ce qui sent palpé de plus mémorable en f	6271000.txt
france	France	 contenant ce qui sent palpé de plus mémorable en france tant par rapport au gouvernement qu’à la religion	6271000.txt
qu	que	orable en France tant par rapport au gouvernement que’à la religion avec des réflexions fur les princi	6271000.txt
françois	François	avec des réflexions fur les principaux historiens françois 12 2 volé a la paye 1716 de mr richard simon hist	6271000.txt
mr	mir	x historiens François 12 2 volé a la paye 1716 de mrr richard simon histoire critique des dogmes des c	6271000.txt
simon	sinon	 François 12 2 volé a la paye 1716 de mir richard simon histoire critique des dogmes des controverses des	6271000.txt
mr	mir	mes et des cérémonies des chrétiens orientaux par mrr r simon 12 1711 db mrs son et wheeler f voyage d	6271000.txt
simon	sinon	 des cérémonies des chrétiens orientaux par mir r simon 12 1711 db mrs son et wheeler f voyage d’italie d	6271000.txt
db	bd	s des chrétiens orientaux par mir r sinon 12 1711 db mrs son et wheeler f voyage d’italie de dalmatien	6271000.txt
mrs	RMS	es chrétiens orientaux par mir r sinon 12 1711 bd mrs son et wheeler f voyage d’italie de dalmatien de 	6271000.txt
wheeler	héler	s orientaux par mir r sinon 12 1711 bd RMS son et wheeler voyage d’italie de dalmatien de grâce et du levan	6271000.txt
italie	italien	ir r sinon 12 1711 bd RMS son et héler f voyage d’italien de dalmatien de grâce et du levant par mrs son e	6271000.txt
mrs	RMS	 d’italien de dalmatien de grâce et du levant par mrs son et wheeler 11 2 volé a la paye 1724 avec ig d	6271000.txt
wheeler	héler	de dalmatien de grâce et du levant par RMS son et wheeler1 2 volé a la paye 1724 avec ig du du docteur jona	6271000.txt
ig	if	ar RMS son et héler 11 2 volé a la paye 1724 avec ig du du docteur jonathan swift le grand mystère ou 	6271000.txt
jonathan	joncha	er 11 2 volé a la paye 1724 avec if du du docteur jonathanwift le grand mystère ou l’art de méditer fur la g	6271000.txt
swift	suifât	 volé a la paye 1724 avec if du du docteur joncha swiftt le grand mystère ou l’art de méditer fur la gard	6271000.txt
lé	le	ère ou l’art de méditer fur la garderie renouvelé lé et devoir par l’ingenieux douleur swift 8 a la pa	6271000.txt
ingenieux	ingénieux	iter fur la garderie renouvelé le et devoir par l’ingenieux douleur swift 8 a la paye 1719 db mr le chevalier	6271000.txt
swift	suifât	ie renouvelé le et devoir par l’ingénieux douleur swiftt 8 a la paye 1719 db mr le chevalier guillaume te	6271000.txt
db	bd	r par l’ingénieux douleur suifât 8 a la paye 1719 db mr le chevalier guillaume temple ambassadeur de l	6271000.txt
mr	mir	ar l’ingénieux douleur suifât 8 a la paye 1719 bd mrr le chevalier guillaume temple ambassadeur de la 	6271000.txt
gran	grand	r le chevalier guillaume temple ambassadeur de la grand de bretagne en diverses cours de l’europe lettre	6271000.txt
bretagne	brettâmes	alier guillaume temple ambassadeur de la grand de bretagnes en diverses cours de l’europe lettres de mr le c	6271000.txt
europe	Europe	r de la grand de brettâmes en diverses cours de l’europe lettres de mr le chevalier temple et autres miniè	6271000.txt
mr	mir	rettâmes en diverses cours de l’Europe lettres de mrr le chevalier temple et autres minières d’etat co	6271000.txt
çonfiderable	considérable	ntenant uni relation de ce qui sent gaffé de plus çonfiderable depuis y jufqu’en 1671 111 volé a la paye 1711 le	6271000.txt
jufqu	jusqu	e ce qui sent gaffé de plus considérable depuis y jufqu’en 1671 111 volé a la paye 1711 lettres de mr tem	6271000.txt
mr	mir	 jusqu’en 1671 111 volé a la paye 1711 lettres de mrr temple au comte d’arlington publiées par mr jone	6271000.txt
arlington	ralinguons	é a la paye 1711 lettres de mir temple au comte d’arlingtons publiées par mr jones n a la paye 1715- mémoires	6271000.txt
mr	mir	 de mir temple au comte d’ralinguons publiées par mrr jones n a la paye 1715- mémoires de mr temple co	6271000.txt
jones	Jones	mir temple au comte d’ralinguons publiées par mir jones n a la paye 1715- mémoires de mr temple contenant	6271000.txt
mr	mir	liées par mir Jones n a la paye 1715- mémoires de mrr temple contenant ce qui socle paté de plus consi	6271000.txt
paté	pâte	15- mémoires de mir temple contenant ce qui socle paté de plus considérable depuis le commencement de la	6271000.txt
jusquà	jusqu'à	rable depuis le commencement de la guerre en 1672 jusquàà la paix concile à nimegue en 1679 8 1708 nouveau	6271000.txt
nimegue	mimée	nt de la guerre en 1672 jusqu'à la paix concile à nimeguen 1679 8 1708 nouveaux mémoires de mr temple conte	6271000.txt
mr	mir	ncile à mimée en 1679 8 1708 nouveaux mémoires de mrr temple contenant un détail des intrigues de la q	6271000.txt
couc	couac	 temple contenant un détail des intrigues de la q coucc cour d’angleterre des négociations des minières 	6271000.txt
angleterre	Angleterre	nant un détail des intrigues de la q couac cour d’angleterre des négociations des minières et de lui même dans	6271000.txt
nimegue	mimée	 même dans les cours étrangères depuis la paix de nimegueusquà îa retraite de l’auteur pu pliez avec une pr	6271000.txt
jusquà	jusqu'à	dans les cours étrangères depuis la paix de mimée jusquàà îa retraite de l’auteur pu pliez avec une préfac	6271000.txt
jonathan	joncha	l’auteur pu pliez avec une préface par le docteur jonathanwift on y a joint la vie et le caractère de mr tem	6271000.txt
swift	suifât	r pu pliez avec une préface par le docteur joncha swiftt on y a joint la vie et le caractère de mr temple	6271000.txt
mr	mir	cha suifât on y a joint la vie et le caractère de mrr temple 8 a la paye 1729 remarques fur l’etat des	6271000.txt
païs	pais	1729 remarques fur l’état des provinces unies des païs-13as par mr temple 12 lntrodudlion à l’hi gloire 	6271000.txt
mr	mir	 fur l’état des provinces unies des pais-13as par mrr temple 12 lntrodudlion à l’hi gloire ta tigltter	6271000.txt
lntrodudlion	Pas de correction trouvée	s provinces unies des pais-13as par mir temple 12 lntrodudlion à l’hi gloire ta tigltterre;- par mr temple 12: t	6271000.txt
tigltterre	tigrerai	s par mir temple 12 lntrodudlion à l’hi gloire ta tigltterre par mr temple 12: t 1 1 a t de mr l’abbé de ville	6271000.txt
mr	mir	e 12 lntrodudlion à l’hi gloire ta tigrerai;- par mrr temple 12: t 1 1 a t de mr l’abbé de ville mon t	6271000.txt
mr	mir	ire ta tigrerai;- par mir temple 12: t 1 1 a t de mrr l’abbé de ville mon t f  clemens de histoire par	6271000.txt
clemens	cléments	ple 12: t 1 1 a t de mir l’abbé de ville mon t f  clemenss de histoire par mr de ville mont 12 3 volé 1714 	6271000.txt
mr	mir	l’abbé de ville mon t f  cléments de histoire par mrr de ville mont 12 3 volé 1714 avec fin de d vince	6271000.txt
vincent	Vincent	ar mir de ville mont 12 3 volé 1714 avec fin de d vincent thriller benedict de saint mur ouvrages posthume 	6271000.txt
benedict	bénédictin	ont 12 3 volé 1714 avec fin de d Vincent thriller benedictin de saint mur ouvrages posthume de d jean maillo	6271000.txt
thierry	Thierry	t mur ouvrages posthume de d jean maillon et de d thierry ruinant bénédictions de saint mur contenant un re	6271000.txt
féparémetu	Pas de correction trouvée	etits ouvrages duc ces auteurs ci-devant imprimez féparémetu et autres nouveaux avec des notes etc 3 volé pari	6271000.txt
rt	rat	olé paris 1724 h y catalogue tu livres d’histoire rtt db p o l i t i qju) par d 1 f r et gens auteurs 	6271000.txt
db	bd	paris 1724 h y catalogue tu livres d’histoire rat db p o l i t i qju) par d 1 f r et gens auteurs des 	6271000.txt
qju	jus	catalogue tu livres d’histoire rat bd p o l i t i qju) par d 1 f r et gens auteurs des mémoires et négo	6271000.txt
eud	eus	égociations du congrès de sillons avec un journal eud de tout ce qui set f parlé dans ce congrès depuis	6271000.txt
jusquà	jusqu'à	 set f parlé dans ce congrès depuis (on ouverture jusquàà présent 8 a la paye 1729 --- et mémoires des nég	6271000.txt
nimegue	mimée	29 --- et mémoires des négociations de la paix de nimeguevec l’hilloire de ces négociations par mr de st di	6271000.txt
hilloire	gloire	oires des négociations de la paix de mimée avec l’hilloiree ces négociations par mr de st didier 11 8 vou a 	6271000.txt
mr	mir	ix de mimée avec l’gloire de ces négociations par mrr de st didier 11 8 vou a la paye 1697 t et mémoir	6271000.txt
st	sot	imée avec l’gloire de ces négociations par mir de stt didier 11 8 vou a la paye 1697 t et mémoires des	6271000.txt
didier	DIDIER	 avec l’gloire de ces négociations par mir de sot didier 11 8 vou a la paye 1697 t et mémoires des négocia	6271000.txt
vou	vous	re de ces négociations par mir de sot DIDIER 11 8 vous a la paye 1697 t et mémoires des négociations de	6271000.txt
ryfwyk	Pas de correction trouvée	1697 t et mémoires des négociations de la paix de ryfwyk nous edit augmentée de plusieurs pièces authentiq	6271000.txt
edit	édit	moires des négociations de la paix de ryfwyk nous edit augmentée de plusieurs pièces authentiques et de 	6271000.txt
éparement	épatement	tions 12 y volé a la paye 172 s a idem le tome ç (éparement connati de pontefici roman qjlali fi no toatuti t	6271000.txt
connati	connaît	 volé a la paye 172 s a idem le tome ç (épatement connati de pontefici roman qjlali fi no toatuti trot are 	6271000.txt
pontefici	bondérisai	paye 172 s a idem le tome ç (épatement connaît de ponteficii roman qjlali fi no toatuti trot are fill a que g	6271000.txt
qjlali	kali	 le tome ç (épatement connaît de bondérisai roman qjlalii no toatuti trot are fill a que giorgio 12 condui	6271000.txt
toatuti	traduit	(épatement connaît de bondérisai roman kali fi no toatuti trot are fill a que giorgio 12 conduite des cours	6271000.txt
fill	fille	t de bondérisai roman kali fi no traduit trot are fille a que giorgio 12 conduite des cours de la grande	6271000.txt
giorgio	géorgien	sai roman kali fi no traduit trot are fille a que giorgion 12 conduite des cours de la grande bretagne et d	6271000.txt
bretagne	brettâmes	a que géorgien 12 conduite des cours de la grande bretagnes et de alpague tant par rapport à invasion de la 	6271000.txt
sardaigne	sardane	s et de alpague tant par rapport à invasion de la sardaignet de la sicile que de l’entreprife de amiral initi	6271000.txt
sicile	sicle	ant par rapport à invasion de la sardane et de la sicileque de l’entreprife de amiral initié contre la flo	6271000.txt
entreprife	entreprise	 à invasion de la sardane et de la sicle que de l’entreprife de amiral initié contre la flotte espagnole b 171	6271000.txt
sardaigne	sardane	istorique politique et géographique du royaume de sardaignevec plusieurs pièces curieuses concernant les inté	6271000.txt
pe	peu	ntérêts des princes de l’euro 0 z fe ut catalogue peu par rapport a ce royaume e a la paye 171 hiftoir	6271000.txt
hiftoiredu	histoire	ogue peu par rapport a ce royaume e a la paye 171 hiftoiredulergé sécuriser et régulier de l’un et de l’autre 	6271000.txt
réprefentent	représentent	r de l’un et de l’autre sexe avec des figures qui réprefentent les différait habillement de leurs ordres et cong	6271000.txt
aaaa	AAAI	 de leurs ordres et congrégations 8 4 roll 1716 a aaaa le même ouvrage en grand papier a des ordres mili	6271000.txt
europe	Europe	"la paye 1"".f intérêts (nouveaux) des princes de l’europe 12 lettres mémoires et négociations de mrs de bel"	6271000.txt
mrs	RMS	e l’Europe 12 lettres mémoires et négociations de mrs de believe et de piller contenant la négociation 	6271000.txt
believe	bélière	ope 12 lettres mémoires et négociations de RMS de believe et de piller contenant la négociation de la pail 	6271000.txt
pail	Paul	lière et de piller contenant la négociation de la pail de verrons en if entre les rois henri iv et phili	6271000.txt
henri	Henri	"iation de la Paul de verrons en if entre les rois henri iv et philippe il etc il a volé a la paye 1711"" 1"	6271000.txt
iv	ive	" de la Paul de verrons en if entre les rois Henri ive et philippe il etc il a volé a la paye 1711"" 1 m"	6271000.txt
philippe	phi lippe	"Paul de verrons en if entre les rois Henri ive et philippee il etc il a volé a la paye 1711"" 1 mémoires de l"	6271000.txt
orléans	Orléans	"711"" 1 mémoires de la régence de s a mur le duc d’orléans durant la minorité catalogue ii hérité de loups t"	6271000.txt
ii	ici	mur le duc d’Orléans durant la minorité catalogue iii hérité de loups tv roi de france f avec les port	6271000.txt
tv	TVA	 durant la minorité catalogue ici hérité de loups tvA roi de france f avec les portraits des principal	6271000.txt
france	France	minorité catalogue ici hérité de loups TVA roi de france f avec les portraits des principales personnes de	6271000.txt
bretagne	brettâmes	729 mémoires du règne de gorge i roi de la grande bretagnes contenant l’hi ivoire de tous les grands eveneme	6271000.txt
evenement	évènement	rettâmes contenant l’hi ivoire de tous les grands evenement de l’europe depuis lanaiilance de ce monarque jus	6271000.txt
europe	Europe	ant l’hi ivoire de tous les grands évènement de l’europe depuis lanaiilance de ce monarque jusquà fa mort 	6271000.txt
lanaiilance	l'annihilasse	e de tous les grands évènement de l’Europe depuis lanaiilancese de ce monarque jusquà fa mort enrichie de pièce	6271000.txt
jusquà	jusqu'à	t de l’Europe depuis l'annihilasse de ce monarque jusquàà fa mort enrichie de pièces authentiques 8 a volé	6271000.txt
lâ	la	a mort enrichie de pièces authentiques 8 a volé a lâ paye 1729--- idem le tome 3 fous peine du chevali	6271000.txt
george	George	- idem le tome 3 fous peine du chevalier de saint george 1 a 17 3 de anecdotes d’un ministre étranger conc	6271000.txt
cnraétcre	Pas de correction trouvée	s d’un autre ministre étranger qui contiennent le cnraétcre du feu car ceux de les principaux minières et la 	6271000.txt
mexico	mexicain	ipaux minières et la vie et le portrait du prince mexicoin 12 a la paye 1729 souverains fies) du monde con	6271000.txt
etendue	étendue	isons souveraines leurs généalogie et alliances l’etendue et le gouvernement de leurs etats leur religion l	6271000.txt
tefia	défia	eurs qui en ont écrit 8 4 volé a la paye 1722 o 3 tefia- tellement poétique de mr colvert il a la paye a 	6271000.txt
mr	mir	é a la paye 1722 o 3 défia- tellement poétique de mrr colvert il a la paye a 711 théâtre de la g unde-	6271000.txt
unde	inde	de mir colvert il a la paye a 711 théâtre de la g unde-breragne ou description existe dis palan du roi e	6271000.txt
cnnlidt	client	n existe dis palan du roi et des maisons les plus cnnlidtne es du royaume ; avec le nouveau 8uppkmeut et l’	6271000.txt
uppkmeut	pommait	s plus client ne es du royaume ; avec le nouveau 8uppkmeutet l’atlas le tout en tailles douces fuliovoll 171	6271000.txt
fuliovoll	Pas de correction trouvée	eau 8pommait et l’atlas le tout en tailles douces fuliovoll 1714 - 1728 livres de diverses mat t eres par dif	6271000.txt
eres	ères	es fuliovoll 1714 - 1728 livres de diverses mat t eres par different a ut e lt r s aphnrîfmes de controv	6271000.txt
different	diffèrent	oll 1714 - 1728 livres de diverses mat t ères par different a ut e lt r s aphnrîfmes de controverse tirées de	6271000.txt
lt	Ltd	ivres de diverses mat t ères par diffèrent a ut e ltd r s aphnrîfmes de controverse tirées de l’ecritu	6271000.txt
aphnrîfmes	aphorismes	 diverses mat t ères par diffèrent a ut e Ltd r s aphnrîfmes de controverse tirées de l’ecriture des concile e	6271000.txt
ecriture	écriture	t e Ltd r s aphorismes de controverse tirées de l’ecriture des concile et des s s peu res n l’art de bâtir l	6271000.txt
res	rhés	e tirées de l’écriture des concile et des s s peu ress n l’art de bâtir les vallfeaux et d’en perfectio	6271000.txt
vallfeaux	palléaux	 concile et des s s peu rhés n l’art de bâtir les vallfeauxet d’en perfectionner la conftruâion tirée de mrs 	6271000.txt
conftruâion	controuvons	rt de bâtir les palléaux et d’en perfectionner la conftruâion tirée de mrs wife van eye ballard et autres ; ave	6271000.txt
